"screen_name","retweet_screen_name"
"nishiimurark","jngsngcartz"
"vxlyn_","ARMYTEAMIID"
"UGHYEONTH","BTStranslation_"
"jm_augustd","jscartPH"
"into_yjwcat","CGV_ID"
"twaehv","CBIpictures"
"eisrlz","BtsarmyPeduli"
"Dimaassetiawan",NA
"Dimaassetiawan","laviedenoona"
"xiuli1996","CGV_ID"
"sexycjmnie","CBIpictures"
"Thajimin7","Univers_Bangtan"
"Bellaarahma1","7btsupdates"
"taebrownsugar","CGV_ID"
"_Iifegoeson","BTStranslation_"
"behoneeyy_",NA
"fnsyifa_29",NA
"NazwaayraF","BTStranslation_"
"injangie__",NA
"mochi_putih","CGV_ID"
"BTS_PERSONA",NA
"BTS_PERSONA",NA
"BTS_PERSONA",NA
"BTS_PERSONA",NA
"BTS_PERSONA","armyfess_"
"BTS_PERSONA",NA
"BTS_PERSONA",NA
"BTS_PERSONA",NA
"BTS_PERSONA","winterbearkim_"
"goowieo",NA
"goowieo",NA
"kyunieppo",NA
"HanifaAryani__","laviedenoona"
"aulitaesik","CGV_ID"
"aulitaesik","CBIpictures"
"ARLENEVilla9",NA
"radiantgirl","CBIpictures"
"NunaJinkook","laviedenoona"
"mondekook_","laviedenoona"
"ArGa_Min",NA
"flutterkoo","CGV_ID"
"BTSevenlegends","CGV_ID"
"chimin710",NA
"LMKJNS","vallerylia"
"fuckGrammYutube","CGV_ID"
"fuckGrammYutube","CBIpictures"
"furtari",NA
"furtari",NA
"furtari",NA
"furtari",NA
"furtari",NA
"furtari",NA
"zehaspirit","INDOMYGOLD"
"tegikuks",NA
"tegikuks",NA
"tegikuks",NA
"tegikuks",NA
"tegikuks",NA
"tegikuks",NA
"tegikuks",NA
"jeonborahae7","CGV_ID"
"jaywonprk","jngsngcartz"
"daridafarida",NA
"daridafarida","chizikook_"
"jeon7JK7","Univers_Bangtan"
"StanOffBTS","Univers_Bangtan"
"jkkprada","Univers_Bangtan"
"anarrgguk","7btsupdates"
"hestiacartz_","everytaehng"
"hayykiiiii","vallerylia"
"viased_","CGV_ID"
"pluffyck","CBIpictures"
"kvzcine",NA
"kiki_priscilia","CGV_ID"
"Minn_Taegi",NA
"staeberriyy",NA
"staeberriyy",NA
"staeberriyy",NA
"staeberriyy",NA
"staeberriyy",NA
"staeberriyy",NA
"staeberriyy",NA
"staeberriyy",NA
"staeberriyy",NA
"staeberriyy",NA
"littlebeartae95","laviedenoona"
"imoeth02","mcyxjm"
"imoeth02",NA
"imoeth02",NA
"Iovinbangtan","BTStranslation_"
"peachofmin","BTStranslation_"
"95Lkimtae",NA
"Nayaaaa_i","CBIpictures"
"Nayaaaa_i","CGV_ID"
"milkbubble_tae","CBIpictures"
"Marshuman_",NA
"imliiharu",NA
"carolinecindyy","IndomyLetsVote"
"carolinecindyy","IndomyLetsVote"
"Pinkookieee","CBIpictures"
"hiIamjimin","CGV_ID"
"potataapew__","CGV_ID"
"potataapew__",NA
"yayain970","CGV_ID"
"guiltygi","Univers_Bangtan"
"vntaekv_",NA
"min_raaa",NA
"jkdesmn",NA
"jkdesmn",NA
"jkdesmn",NA
"jkdesmn",NA
"jkdesmn",NA
"nskyhjtjcart09","jscartPH"
"Chimkyta113",NA
"Chimkyta113",NA
"Chimkyta113","laviedenoona"
"Amiiee0818","CGV_ID"
"ShofwaKharisma","laviedenoona"
"Seokjinnies06","bel_moranb"
"jscartPH","jscartPH"
"gfkatehaaa_",NA
"gfkatehaaa_",NA
"DanaDia86573864","BTStranslation_"
"myselai","laviedenoona"
"everytaehng",NA
"btskie_lucky7","CBIpictures"
"TasyaSiagian1","laviedenoona"
"TasyaSiagian1","CGV_ID"
"TasyaSiagian1","laviedenoona"
"CindyCyne","laviedenoona"
"sb_ilna","CBIpictures"
"sb_ilna","CGV_ID"
"KashmiOT7",NA
"KashmiOT7",NA
"BTS_is_oxiJIN22","BTS_twt"
"3Kimkook",NA
"3Kimkook",NA
"disneytisa",NA
"disneytisa","CGV_ID"
"disneytisa",NA
"kapkivoc","BTStranslation_"
"jeyhopemyangel","CBIpictures"
"jeyhopemyangel","CGV_ID"
"jiminiebubb",NA
"dejicart",NA
"AlRasac",NA
"prodsugadearest",NA
"qila_ssss","CGV_ID"
"92sfav","CGV_ID"
"laviedenoona",NA
"laviedenoona","laviedenoona"
"laviedenoona",NA
"alwaysadcember","CGV_ID"
"alwaysadcember","vallerylia"
"mylvhb",NA
"mylvhb",NA
"mylvhb",NA
"mylvhb",NA
"mylvhb",NA
"mylvhb",NA
"heeyunkijay","BTStranslation_"
"tetebreadlover",NA
"Elia_Store_",NA
"VKTH1_","CGV_ID"
"cutiefi_chimmy","CGV_ID"
"CyaluvOT7",NA
"onkthlights",NA
"MechanMel","vallerylia"
"toorubreezvyg","laviedenoona"
"toorubreezvyg","laviedenoona"
"toorubreezvyg","laviedenoona"
"ppaarkjiminssi","CGV_ID"
"KompasEnt",NA
"SeokjinEarth_","linetoday"
"saptaiita211","CBIpictures"
"saptaiita211","CGV_ID"
"abidaoraf",NA
"abidaoraf","hollahalipah28"
"abidaoraf",NA
"Cookiemeltz","laviedenoona"
"teewsragus",NA
"ABCxBTS","BTStranslation_"
"ffebruaryeight","BTStranslation_"
"agustdsugamyg","BTStranslation_"
"geniuslabrawr",NA
"jiminkiw","mcyxjm"
"fantaesiii",NA
"zoeyourlight_","CGV_ID"
"xxtaekooklvl","chizikook_"
"_pjmmygs_",NA
"_pjmmygs_",NA
"hqaechaan","vallerylia"
"fayluckyywin","utiindah"
"fayluckyywin","Kimnana1225"
"lissbangtan_","Univers_Bangtan"
"zeharucein_","CGV_ID"
"jekeycutie",NA
"tcaekook",NA
"amlptrkth","CGV_ID"
"amlptrkth","CBIpictures"
"ILiveforOT7","BTStranslation_"
"scfthoseqk","ancijin_"
"kimvanrik","CBIpictures"
"ofcminggukie",NA
"pacarnyaleeknow",NA
"Citradera","kompascom"
"VicenciaM44","BTSNewsBrasil"
"heysulbee",NA
"iceprincessjin","BTStranslation_"
"ksjwfe","mcyxjm"
"cutiebibble",NA
"thatagomess7","BTSNewsBrasil"
"yoonshybogi",NA
