"screen_name","reply_to_screen_name"
"Beomi_GyuCat","BTS_twt"
"starjiinn","BTS_twt"
"starjiinn","BTS_twt"
"jeonbluxsh",NA
"aurorrains",NA
"euphocomania",NA
"djxsicheng","djxsicheng"
"nishiimurark",NA
"vxlyn_",NA
"UGHYEONTH",NA
"jm_augustd",NA
"into_yjwcat",NA
"twaehv",NA
"eisrlz",NA
"Dimaassetiawan","BTS_twt"
"Dimaassetiawan",NA
"xiuli1996",NA
"sexycjmnie",NA
"Thajimin7",NA
"Bellaarahma1",NA
"taebrownsugar",NA
"_Iifegoeson",NA
"behoneeyy_","BTS_twt"
"fnsyifa_29","BTS_twt"
"NazwaayraF",NA
"injangie__","BTS_twt"
"mochi_putih",NA
"BTS_PERSONA",NA
"BTS_PERSONA",NA
"BTS_PERSONA","chokooblue"
"BTS_PERSONA",NA
"BTS_PERSONA",NA
"BTS_PERSONA","nkoogie"
"BTS_PERSONA",NA
"BTS_PERSONA","winterbearkim_"
"BTS_PERSONA",NA
"goowieo","BTS_twt"
"goowieo","BTS_twt"
"kyunieppo","BTS_twt"
"HanifaAryani__",NA
"aulitaesik",NA
"aulitaesik",NA
"ARLENEVilla9","chimin710"
"radiantgirl",NA
"NunaJinkook",NA
"mondekook_",NA
"ArGa_Min","PMutiiaa"
"flutterkoo",NA
"BTSevenlegends",NA
"chimin710","ARLENEVilla9"
"LMKJNS",NA
"fuckGrammYutube",NA
"fuckGrammYutube",NA
"furtari","fourleris"
"furtari","spuearb"
"furtari",NA
"furtari","seventeenhapen"
"furtari","27milyar"
"furtari","kaqnae"
"zehaspirit",NA
"tegikuks","BTS_twt"
"tegikuks","tcaekook"
"tegikuks","tcaekook"
"tegikuks","BTS_twt"
"tegikuks","BTS_twt"
"tegikuks","BTS_twt"
"tegikuks","BTS_twt"
"jeonborahae7",NA
"jaywonprk",NA
"daridafarida","adorkablejoon"
"daridafarida",NA
"jeon7JK7",NA
"StanOffBTS",NA
"jkkprada",NA
"anarrgguk",NA
"hestiacartz_",NA
"hayykiiiii",NA
"viased_",NA
"pluffyck",NA
"kvzcine","BTS_twt"
"kiki_priscilia",NA
"Minn_Taegi","BTS_twt"
"staeberriyy","BTS_twt"
"staeberriyy","BTS_twt"
"staeberriyy","BTS_twt"
"staeberriyy","BTS_twt"
"staeberriyy","BTS_twt"
"staeberriyy","BTS_twt"
"staeberriyy","BTS_twt"
"staeberriyy","BTS_twt"
"staeberriyy","BTS_twt"
"staeberriyy","BTS_twt"
"littlebeartae95",NA
"imoeth02",NA
"imoeth02","_peuupeuuu"
"imoeth02","_peuupeuuu"
"Iovinbangtan",NA
"peachofmin",NA
"95Lkimtae","BTS_twt"
"Nayaaaa_i",NA
"Nayaaaa_i",NA
"milkbubble_tae",NA
"Marshuman_","BTS_twt"
"imliiharu",NA
"carolinecindyy",NA
"carolinecindyy",NA
"Pinkookieee",NA
"hiIamjimin",NA
"potataapew__",NA
"potataapew__","ZER0XBLACK"
"yayain970",NA
"guiltygi",NA
"vntaekv_","BTS_twt"
"min_raaa",NA
"jkdesmn","BTS_twt"
"jkdesmn","BTS_twt"
"jkdesmn","BTS_twt"
"jkdesmn","BTS_twt"
"jkdesmn","BTS_twt"
"nskyhjtjcart09",NA
"Chimkyta113","heysulbee"
"Chimkyta113",NA
"Chimkyta113",NA
"Amiiee0818",NA
"ShofwaKharisma",NA
"Seokjinnies06",NA
"jscartPH",NA
"gfkatehaaa_","Curhatansuka"
"gfkatehaaa_","littleejung"
"DanaDia86573864",NA
"myselai",NA
"everytaehng",NA
"btskie_lucky7",NA
"TasyaSiagian1",NA
"TasyaSiagian1",NA
"TasyaSiagian1",NA
"CindyCyne",NA
"sb_ilna",NA
"sb_ilna",NA
"KashmiOT7","BTS_twt"
"KashmiOT7","BTS_twt"
"BTS_is_oxiJIN22",NA
"3Kimkook",NA
"3Kimkook",NA
"disneytisa",NA
"disneytisa",NA
"disneytisa","bts_bighit"
"kapkivoc",NA
"jeyhopemyangel",NA
"jeyhopemyangel",NA
"jiminiebubb","BTS_twt"
"dejicart",NA
"AlRasac",NA
"prodsugadearest","CyaluvOT7"
"qila_ssss",NA
"92sfav",NA
"laviedenoona",NA
"laviedenoona",NA
"laviedenoona","anothersteffi"
"alwaysadcember",NA
"alwaysadcember",NA
"mylvhb",NA
"mylvhb",NA
"mylvhb",NA
"mylvhb",NA
"mylvhb","jinniesteacher"
"mylvhb",NA
"heeyunkijay",NA
"tetebreadlover","BTS_twt"
"Elia_Store_","graffitionmine"
"VKTH1_",NA
"cutiefi_chimmy",NA
"CyaluvOT7","prodsugadearest"
"onkthlights","dynamitebooms"
"MechanMel",NA
"toorubreezvyg",NA
"toorubreezvyg",NA
"toorubreezvyg",NA
"ppaarkjiminssi",NA
"KompasEnt",NA
"SeokjinEarth_",NA
"saptaiita211",NA
"saptaiita211",NA
"abidaoraf",NA
"abidaoraf",NA
"abidaoraf",NA
"Cookiemeltz",NA
"teewsragus","BTS_twt"
"ABCxBTS",NA
"ffebruaryeight",NA
"agustdsugamyg",NA
"geniuslabrawr","BTS_twt"
"jiminkiw",NA
"fantaesiii","_peuupeuuu"
"zoeyourlight_",NA
"xxtaekooklvl",NA
"_pjmmygs_","gbrlje"
"_pjmmygs_","BTS_twt"
"hqaechaan",NA
"fayluckyywin",NA
"fayluckyywin",NA
"lissbangtan_",NA
"zeharucein_",NA
"jekeycutie","BTS_twt"
"tcaekook","tegikuks"
"amlptrkth",NA
"amlptrkth",NA
"ILiveforOT7",NA
"scfthoseqk",NA
"kimvanrik",NA
"ofcminggukie","BTS_twt"
"pacarnyaleeknow",NA
"Citradera",NA
"VicenciaM44",NA
"heysulbee","Chimkyta113"
"iceprincessjin",NA
"ksjwfe",NA
"cutiebibble","_peuupeuuu"
"thatagomess7",NA
"yoonshybogi","beyondzi"
"sootophia",NA
"ssmyggv",NA
"HIO97JK",NA
"KyualaBIue","BTS_twt"
"KyualaBIue","BTS_twt"
"oceanyeuci",NA
"jeonjekeiy","BTS_twt"
"jeonjekeiy","BTS_twt"
"jeonjekeiy","BTS_twt"
"rockstarstae",NA
"Vthehugfairy",NA
"Vthehugfairy",NA
"estaemaniz",NA
"estaemaniz",NA
"skitpt7",NA
"abcdefvoo","BTS_twt"
"Cellainax",NA
"laesposadeLoki",NA
"yuucards",NA
"boraoceanph",NA
"dobbyliciousy",NA
"jungtaeraa","BTS_twt"
"nqmkcck","BTS_twt"
"taedalkom",NA
"kthcyjun_",NA
"sugakeren","BTS_twt"
"sugakeren","laviedenoona"
"kimaruka_","BTS_twt"
"fiItervmins",NA
"Jora283",NA
"Jk_mytimeee","taedyflowery"
"taevkrsna",NA
"lauren_sis","refinasetiani"
"taeobroma",NA
"Jjknumber1",NA
"pcarablenyajk","BTS_twt"
"yeontann_v",NA
"loubieeskoo","_peuupeuuu"
"rsisepm","BTS_twt"
"jiminiewiphe",NA
"yuliafatfa_",NA
"cuttietaeyong_",NA
"VXSAZEIN",NA
"vk_bts_7",NA
"chokooblue","BTS_PERSONA"
"chokooblue","BTS_PERSONA"
"taechancute",NA
"penny_febrianti",NA
"taedyflowery","Jk_mytimeee"
"kimtaenaj",NA
"0T7_2013",NA
"jeonjungk_ok",NA
"tsunderejinnie",NA
"mochiiicaca",NA
"mcyxjm",NA
"korncheese_89",NA
"rvangoperasi","arthurkkun"
"justyoongiii",NA
"san_warmindo","san_warmindo"
"bbearcart",NA
"vhopeeland",NA
"keep_strong10",NA
"nvdglno",NA
"CherryCuwie",NA
"kthbuys",NA
"kimchii_2eet","BTS_twt"
"cherrygi_","BTS_twt"
"luvlyalien",NA
"kookoophi",NA
"purpleskymimi",NA
"dedekniki",NA
"HanaJungha7",NA
"HanaJungha7",NA
"flwrkimtae","flwrkimtae"
"flwrkimtae","flwrkimtae"
"behbehtoh7012","HEReuphoriA__"
"M_JawaTimurCom",NA
"HuriaKimV",NA
"bunnieskoou",NA
"soft_babyBunny","BTS_twt"
"soft_babyBunny","BTS_twt"
"kth_Vlynn",NA
"Aini14807991","littleejung"
"mochiminn_13",NA
"majnvy","laviedenoona"
"elmariachimm",NA
"mayadwii",NA
"kimgukkies",NA
"jjvorezzy","BTS_twt"
"Husna0721",NA
"capricofrn",NA
"putrigum1",NA
"Masy6596",NA
"sweetaepea",NA
"i1365244_","BTS_twt"
"kkyumicart","BTS_twt"
"gguksiast","BTS_twt"
"gguksiast","BTS_twt"
"mnyygi","BTS_twt"
"Taehopeee_","laviedenoona"
"ourkookoo","BTS_twt"
"raarawwrr",NA
"deniadea",NA
"summeertha",NA
"rraxkth",NA
"vvantaaa","BTS_twt"
"fancythv_","BTS_twt"
"Bts7_1398",NA
"dompetbangpdnim",NA
"siscenery","pacarbighit"
"Betakookmin",NA
"NhiiNoonaa",NA
"Amalyaa_V","laviedenoona"
"hoanginjun",NA
"__lesourire",NA
"__lesourire",NA
"sourcandwy",NA
"Taeaeee",NA
"breanley","karaamelv"
"ggukkieyoon","pacarbighit"
"dearbtstwt","zeeehwan"
"jaypjs02","jjkjeya"
"Peupeu_twt",NA
"shretaee",NA
"vaejekey","BTS_twt"
"AegyoK_FindsPH",NA
"roseoulmount",NA
"knjglxy",NA
"taelvlz_",NA
"purpleubts_army",NA
"caseokmin","Curhatansuka"
"caseokmin","Curhatansuka"
"snoopyhobie",NA
"mymondly","BTS_twt"
"mymondly","BTS_twt"
"kthjeonggukk",NA
"korean_shine",NA
"winterbearkim_","BTS_PERSONA"
"winterbearkim_","BTS_PERSONA"
"itssofakelove",NA
"gothicyuno",NA
"nikollects",NA
"aelazxa",NA
"ShuchiPatt",NA
"diahyislam",NA
"sitisofiah613",NA
"ggukwashere",NA
"dionysusjean","zerooclockyk"
"ggukcaines",NA
"cornelethic",NA
"cornelethic",NA
"prncskrnn","BTS_twt"
"jjwanjyope",NA
"kompascom",NA
"webminie_",NA
"abllsputri_",NA
"abllsputri_",NA
